programCode,AcademicYear,UserUID,FormTitle,formID,CourseCode,CourseName,BriefDescription,Semester,CourseOutcomeID,CourseOutcome,Threshold,Target,scoreAwarded,TotalPoints,DifficultyLevel,TaxonomyID,percentage,OBE_attainment,attainment,Exam_type,Mapping
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam I_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",35,50,6.4,10,2,2,0.64,2,1,1,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam I_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,35,50,6.4,10,2,2,0.64,2,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam I_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,35,50,6.4,10,2,2,0.64,2,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam I_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,35,50,6.4,10,2,2,0.64,2,1,1,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam I_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030316544ced,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",35,50,6.4,10,2,2,0.64,2,1,1,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam II_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d05017802ff98824cc9,"Define a vector space in terms of an arbitrary set with defined operations of vector addition and scalar multiplication that satisfy the vector space axioms. Introduce different examples of vector spaces including matrix spaces, function spaces under different definitions of vector addition and scalar multiplications",35,50,8.2,10,2,2,0.82,2,1,2,"3,2,1,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam II_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d05017803000a984ccd,Identify when a linear system is consistent and when it is inconsistent and interpret the solution geometrically. Dealing with the basis and dimension of the solution space and also with rank and nullity of the matrix,35,50,8.2,10,2,2,0.82,2,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam II_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d050178030068b04cd1,Construct an orthonormal basis from a given basis and obtain a basis for the orthogonal complement,35,50,8.2,10,2,2,0.82,2,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam II_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d0501780300d7a74cd5,Distinguish between linear and nonlinear transformations. Define the matrix representation of a linear transformation from to Rn to Rn,35,50,8.2,10,2,2,0.82,2,1,2,"3,2,2,0,0,0,0,0,0,0,0,0,0,0"
B.Tech_CSE,2017-2018,AM.EN.H4CSE16001,15MAT207_Periodical Exam II_B.Tech_CSE_S4EL 2017-2018,2c9fadbd77ff5d050178030319df4d11,15MAT207,Linear Algebra and Its Applications,,1,2c9fadbd77ff5d050178030132334cd9,"Solve linear systems represented as linear transforms and express linear transforms in other forms, such as matrix equations or as vector equations.",35,50,8.2,10,2,2,0.82,2,1,2,"3,3,2,0,0,0,0,0,0,0,0,0,0,0"
